epoch,train_loss,lr,val_psnr,val_ssim,epoch_time_seconds
1,0.13447988352506995,4.998766400914329e-05,,,5.468856573104858
2,0.12729484982107483,4.995066821070679e-05,,,4.460812568664551
3,0.1253354942369329,4.9889049115077005e-05,,,3.9805755615234375
4,0.124768261654115,4.9802867532861956e-05,,,3.9811315536499023
5,0.12376959887457907,4.969220851487845e-05,24.32899416538707,0.6478666048823741,4.224546432495117
6,0.12394929163343689,4.9557181268217227e-05,,,4.214770078659058
7,0.12356301049666611,4.939791904846869e-05,,,3.926640033721924
8,0.12323691420057584,4.921457902821578e-05,,,4.174421548843384
9,0.12345819294947996,4.9007342141923585e-05,,,4.238560676574707
10,0.12285249726373844,4.877641290737885e-05,24.22132282926325,0.6489489588298296,3.952869415283203
11,0.12307860228273457,4.852201922385565e-05,,,4.051565170288086
12,0.12303932265671777,4.82444121472063e-05,,,4.970681190490723
13,0.12289599071249077,4.794386564209954e-05,,,4.005432605743408
14,0.12260029938962871,4.76206763116505e-05,,,4.026058912277222
15,0.12272646849835679,4.727516310470921e-05,24.32432464340277,0.6502482451890644,4.431696653366089
16,0.12210544742925895,4.6907667001096604e-05,,,4.06718897819519
17,0.12246227748726433,4.651855067509861e-05,,,4.054340839385986
18,0.12249700965863736,4.61081981375504e-05,,,4.387048244476318
19,0.12277644525934785,4.567701435686407e-05,,,4.200043439865112
20,0.12245283144442769,4.522542485937371e-05,24.315500562651117,0.651540329320389,4.057665109634399
21,0.12250891770902653,4.475387530939228e-05,,,4.218126535415649
22,0.12255193090835106,4.426283106939476e-05,,,4.26212215423584
23,0.12200782679895064,4.375277674076152e-05,,,4.0678229331970215
24,0.12207726604500416,4.3224215685535314e-05,,,4.192673444747925
25,0.12263445466729303,4.267766952966371e-05,24.34396447842581,0.6515931800792092,4.437953472137451
26,0.1220981555191984,4.211367764821724e-05,,,4.097779750823975
27,0.12178200158606166,4.1532796633091316e-05,,,4.180485486984253
28,0.12145617915212503,4.093559974371726e-05,,,4.488541841506958
29,0.12178180070244815,4.0322676341324435e-05,,,4.12454080581665
30,0.12216485823510646,3.969463130731186e-05,24.331771281727573,0.6518326370339644,4.1550493240356445
31,0.12249615626101788,3.9052084446303294e-05,,,4.54328989982605
32,0.1221898783166873,3.839566987447494e-05,,,4.135574579238892
33,0.12198622316975122,3.772603539375931e-05,,,4.136910676956177
34,0.12218408956642186,3.704384185254291e-05,,,4.438024520874023
35,0.12173192410808081,3.63497624934887e-05,24.194893104988232,0.6486374968499468,4.268993854522705
36,0.12189996077413374,3.564448228912685e-05,,,4.173411846160889
37,0.12175965287128424,3.492869726586954e-05,,,4.430458307266235
38,0.12172568515837467,3.4203113817116984e-05,,,4.3113226890563965
39,0.12137949598793178,3.346844800613232e-05,,,4.197267055511475
40,0.12171790991683636,3.272542485937372e-05,24.296472605906036,0.6491547752367822,4.31064248085022
41,0.12132501360011783,3.197477765098077e-05,,,4.379248142242432
42,0.12182879513980939,3.12172471791214e-05,,,4.179621934890747
43,0.1225667106587911,3.0453581034913598e-05,,,4.3151843547821045
44,0.1218616456096082,2.968453286464315e-05,,,4.533870220184326
45,0.12158699257992421,2.8910861626005803e-05,24.385299400279397,0.654006061323902,4.195042133331299
46,0.12212111745184479,2.8133330839107642e-05,,,4.25044584274292
47,0.12204449658909003,2.7352707832962885e-05,,,4.573319673538208
48,0.12154241854244102,2.6569762988232866e-05,,,4.178670406341553
49,0.12191868565859668,2.5785268976953237e-05,,,4.168879508972168
50,0.12185986352429165,2.5000000000000028e-05,24.29579216137267,0.6539846993329232,4.719103574752808
51,0.1220684949711089,2.421473102304682e-05,,,4.183481454849243
52,0.12163284786960535,2.343023701176719e-05,,,4.154920339584351
53,0.12202585756173315,2.2647292167037164e-05,,,4.547268390655518
54,0.12174920571257643,2.1866669160892418e-05,,,4.1635048389434814
55,0.12210447471227673,2.108913837399425e-05,24.39535407643569,0.6515927270316241,4.166753768920898
56,0.12222325900915257,2.0315467135356907e-05,,,4.526719331741333
57,0.12157408726622633,1.9546418965086466e-05,,,4.196200847625732
58,0.12184341209196758,1.878275282087865e-05,,,4.18572473526001
59,0.12202266103563106,1.8025222349019294e-05,,,4.423773527145386
60,0.12141104109949903,1.7274575140626345e-05,24.364058668153326,0.6511325148636835,4.317291498184204
61,0.12133320877096329,1.6531551993867737e-05,,,4.162019729614258
62,0.12187816264556715,1.579688618288308e-05,,,4.323313474655151
63,0.12180496516980623,1.5071302734130502e-05,,,4.397294044494629
64,0.12157175470477216,1.4355517710873202e-05,,,4.163627624511719
65,0.121642046247713,1.365023750651135e-05,24.28695707990412,0.6509192585945129,4.247152805328369
66,0.12193513301821186,1.2956158147457131e-05,,,4.451745271682739
