epoch,train_loss,lr,val_psnr,val_ssim,epoch_time_seconds
1,0.14067232696853738,4.998766400914329e-05,,,5.570286512374878
2,0.1392317102226194,4.995066821070679e-05,,,4.556471824645996
3,0.13851098615817195,4.9889049115077005e-05,,,4.55712628364563
4,0.13879614094287734,4.9802867532861956e-05,,,4.946817636489868
5,0.1383304993311564,4.969220851487845e-05,24.258417821767036,0.6478919726714754,4.582525730133057
6,0.13827558072319981,4.9557181268217227e-05,,,4.777752161026001
7,0.1379581692036059,4.939791904846869e-05,,,5.5220606327056885
8,0.137447829061598,4.921457902821578e-05,,,4.580910921096802
9,0.13779506095558652,4.9007342141923585e-05,,,4.716551303863525
10,0.13776847882504167,4.877641290737885e-05,24.151845647577655,0.6476693231808511,4.978570222854614
11,0.13757784555933592,4.852201922385565e-05,,,4.632787227630615
12,0.1378083961051807,4.82444121472063e-05,,,4.8285322189331055
13,0.13753449113305147,4.794386564209954e-05,,,4.897809267044067
14,0.13771900465834064,4.76206763116505e-05,,,4.666855573654175
15,0.13757156423144284,4.727516310470921e-05,24.165887539846857,0.6481193241320158,4.935241222381592
16,0.13795065857807134,4.6907667001096604e-05,,,4.810626983642578
17,0.13758457235352153,4.651855067509861e-05,,,4.655929327011108
18,0.1377750500857775,4.61081981375504e-05,,,5.004892587661743
19,0.13755924615833567,4.567701435686407e-05,,,4.6962175369262695
20,0.13723997330071194,4.522542485937371e-05,24.205099888015212,0.6468923868317353,4.706446647644043
21,0.13779554813962674,4.475387530939228e-05,,,5.150332450866699
22,0.1377279246612929,4.426283106939476e-05,,,4.75271463394165
23,0.13704585996030771,4.375277674076152e-05,,,4.832836151123047
24,0.13700163914776464,4.3224215685535314e-05,,,5.1064112186431885
25,0.13756677285455932,4.267766952966371e-05,24.24248258272807,0.6508721076605612,4.774173736572266
26,0.13740668182337823,4.211367764821724e-05,,,4.968564510345459
27,0.1377120212834958,4.1532796633091316e-05,,,5.044261932373047
28,0.13718295614695175,4.093559974371726e-05,,,4.820808172225952
29,0.13723314457873118,4.0322676341324435e-05,,,5.1137754917144775
30,0.137813389026117,3.969463130731186e-05,24.287044343195465,0.6473581294218699,4.910760402679443
31,0.1375344477642056,3.9052084446303294e-05,,,4.819715976715088
32,0.1372997024382911,3.839566987447494e-05,,,5.185150146484375
33,0.1370672522489384,3.772603539375931e-05,,,4.82745623588562
34,0.13710297761091125,3.704384185254291e-05,,,4.870664119720459
35,0.13716655909079484,3.63497624934887e-05,24.306484356261137,0.6454768186075646,5.150104999542236
36,0.13727243224009253,3.564448228912685e-05,,,4.781754016876221
37,0.13672603937837666,3.492869726586954e-05,,,5.003308534622192
38,0.13701410284773244,3.4203113817116984e-05,,,4.962080717086792
39,0.13666775803376652,3.346844800613232e-05,,,4.780582427978516
40,0.1369127699983197,3.272542485937372e-05,24.16005494301779,0.6475409324231901,5.057363033294678
41,0.1377177970451221,3.197477765098077e-05,,,4.780560493469238
42,0.1366452966040191,3.12172471791214e-05,,,4.776683807373047
43,0.13706124379254003,3.0453581034913598e-05,,,5.095806121826172
44,0.1369405872603863,2.968453286464315e-05,,,4.769580125808716
45,0.13714129497690103,2.8910861626005803e-05,24.208289175702813,0.646267369389534,4.8526318073272705
46,0.13665395386221227,2.8133330839107642e-05,,,5.1152260303497314
47,0.1368594312711876,2.7352707832962885e-05,,,4.7955780029296875
48,0.13681241371845165,2.6569762988232866e-05,,,4.9247941970825195
49,0.13699646625712528,2.5785268976953237e-05,,,4.971336841583252
50,0.13683760518402494,2.5000000000000028e-05,24.122074821539094,0.6421078498426237,4.795320510864258
51,0.13680813418200802,2.421473102304682e-05,,,5.186800956726074
52,0.1363270288249022,2.343023701176719e-05,,,4.834121942520142
53,0.13663894207743946,2.2647292167037164e-05,,,4.773481369018555
54,0.13630934897552235,2.1866669160892418e-05,,,5.194455146789551
